,location,total_sqft,bath,bhk
1509,Devanahalli,775.0,1.0,1.0
1510,Devanahalli,1498.0,3.0,3.0
1511,Devanahalli,6136.0,4.0,4.0
1512,Devanahalli,1260.0,2.0,2.0
1513,Devanahalli,1282.0,2.0,3.0
1514,Devarachikkanahalli,1417.0,2.0,3.0
1515,Devarachikkanahalli,1230.0,2.0,2.0
1516,Devarachikkanahalli,1250.0,2.0,3.0
1517,Devarachikkanahalli,1170.0,2.0,2.0
1518,Devarachikkanahalli,1425.0,2.0,3.0
1519,Devarachikkanahalli,1116.0,2.0,2.0
1520,Devarachikkanahalli,1200.0,2.0,2.0
1521,Devarachikkanahalli,615.0,1.0,1.0
1522,Devarachikkanahalli,1700.0,3.0,3.0
1523,Devarachikkanahalli,1230.0,2.0,2.0
1524,Devarachikkanahalli,947.0,2.0,2.0
1525,Dodda Nekkundi,1155.0,2.0,2.0
1526,Dodda Nekkundi,1999.0,3.0,3.0
1527,Dodda Nekkundi,1128.0,2.0,2.0
1528,Dodda Nekkundi,1370.0,2.0,2.0
1529,Dodda Nekkundi,1200.0,2.0,2.0
1530,Dodda Nekkundi,1148.0,2.0,2.0
1531,Dodda Nekkundi,1080.0,2.0,2.0
1532,Dodda Nekkundi,1100.0,2.0,2.0
1533,Dodda Nekkundi,1829.0,3.0,3.0
1534,Dodda Nekkundi,1100.0,2.0,2.0
1535,Dodda Nekkundi,1100.0,2.0,2.0
1536,Dodda Nekkundi,1252.0,2.0,3.0
1537,Dodda Nekkundi,2400.0,4.0,3.0
1538,Dodda Nekkundi,1315.0,2.0,2.0
1539,Dodda Nekkundi,1100.0,2.0,2.0
1540,Dodda Nekkundi,1135.0,2.0,2.0
1541,Dodda Nekkundi,1100.0,2.0,2.0
1542,Dodda Nekkundi,1804.0,3.0,3.0
1543,Doddathoguru,1100.0,2.0,2.0
1544,Doddathoguru,1015.0,2.0,2.0
1545,Doddathoguru,550.0,1.0,1.0
1546,Doddathoguru,550.0,1.0,1.0
1547,Doddathoguru,1200.0,2.0,2.0
1548,Doddathoguru,1549.0,3.0,3.0
1549,Doddathoguru,1050.0,2.0,2.0
1550,Doddathoguru,1208.0,3.0,3.0
1551,Doddathoguru,1140.0,2.0,2.0
1552,Doddathoguru,1595.0,3.0,3.0
1553,Doddathoguru,1783.0,3.0,3.0
1554,Doddathoguru,1104.0,2.0,2.0
1555,Doddathoguru,1100.0,2.0,2.0
1556,Doddathoguru,907.0,2.0,2.0
1557,Doddathoguru,1030.0,2.0,2.0
1558,Doddathoguru,1300.0,2.0,3.0
1559,Doddathoguru,750.0,1.0,1.0
1560,Doddathoguru,915.0,2.0,2.0
1561,Doddathoguru,855.0,2.0,2.0
1562,Doddathoguru,1875.0,3.0,3.0
1563,Doddathoguru,970.0,2.0,2.0
1564,Doddathoguru,1140.0,2.0,2.0
1565,Domlur,2100.0,3.0,3.0
1566,Domlur,1650.0,3.0,3.0
1567,Domlur,1875.0,2.0,3.0
1568,Domlur,1740.0,3.0,3.0
1569,Domlur,2180.0,3.0,3.0
1570,Domlur,2180.0,3.0,3.0
1571,Domlur,650.0,1.0,1.0
1572,Domlur,1695.0,3.0,3.0
1573,Domlur,1050.0,2.0,2.0
1574,Domlur,1800.0,3.0,3.0
1575,Domlur,1850.0,3.0,3.0
1576,Domlur,780.0,1.0,1.0
1577,Domlur,1950.0,3.0,3.0
1578,Domlur,1246.0,2.0,2.0
1579,Domlur,640.0,1.0,1.0
1580,Domlur,1540.0,3.0,3.0
1581,EPIP Zone,1330.0,2.0,2.0
1582,EPIP Zone,1330.0,2.0,2.0
1583,EPIP Zone,1709.0,3.0,3.0
1584,EPIP Zone,1343.0,2.0,2.0
1585,EPIP Zone,1810.0,2.0,2.0
1586,EPIP Zone,1860.0,3.0,3.0
1587,EPIP Zone,2330.0,3.0,3.0
1588,EPIP Zone,1125.0,2.0,2.0
1589,EPIP Zone,2210.0,3.0,3.0
1590,EPIP Zone,2350.0,4.0,3.0
1591,EPIP Zone,2710.0,3.0,3.0
1592,EPIP Zone,3360.0,5.0,4.0
1593,EPIP Zone,3360.0,5.0,4.0
1594,EPIP Zone,3035.0,5.0,4.0
1595,EPIP Zone,2160.0,4.0,3.0
1596,Electronic City,1599.0,3.0,3.0
1597,Electronic City,1615.0,3.0,3.0
1598,Electronic City,1128.0,2.0,2.0
1599,Electronic City,1128.0,2.0,2.0
1600,Electronic City,1140.0,2.0,2.0
1601,Electronic City,1128.0,2.0,2.0
1602,Electronic City,1644.0,3.0,3.0
1603,Electronic City,1128.0,2.0,2.0
1604,Electronic City,1128.0,2.0,2.0
1605,Electronic City,1065.0,2.0,2.0
1606,Electronic City,1025.0,2.0,3.0
1607,Electronic City,1360.0,2.0,3.0
1608,Electronic City,921.0,2.0,2.0
1609,Electronic City,750.0,1.0,1.0
1610,Electronic City,1160.0,2.0,3.0
1611,Electronic City,1140.0,2.0,2.0
1612,Electronic City,940.0,2.0,2.0
1613,Electronic City,1221.0,2.0,2.0
1614,Electronic City,1128.0,2.0,2.0
1615,Electronic City,1070.0,2.0,2.0
1616,Electronic City,2400.0,2.0,3.0
1617,Electronic City,1005.0,2.0,2.0
1618,Electronic City,1020.0,2.0,2.0
1619,Electronic City,1400.0,3.0,3.0
1620,Electronic City,660.0,1.0,2.0
1621,Electronic City,1150.0,2.0,2.0
1622,Electronic City,1400.0,2.0,3.0
1623,Electronic City,1200.0,2.0,2.0
1624,Electronic City,1130.0,2.0,2.0
1625,Electronic City,1070.0,2.0,2.0
1626,Electronic City,1220.0,2.0,3.0
1627,Electronic City,1575.0,3.0,3.0
1628,Electronic City,1025.0,2.0,2.0
1629,Electronic City,1200.0,2.0,2.0
1630,Electronic City,1213.0,2.0,2.0
1631,Electronic City,1128.0,2.0,2.0
1632,Electronic City,660.0,1.0,2.0
1633,Electronic City,1575.0,3.0,3.0
1634,Electronic City,1000.0,2.0,2.0
1635,Electronic City,890.0,2.0,2.0
1636,Electronic City,660.0,1.0,2.0
1637,Electronic City,865.0,2.0,2.0
1638,Electronic City,1310.0,2.0,3.0
1639,Electronic City,1060.0,2.0,2.0
1640,Electronic City,1039.0,2.0,2.0
1641,Electronic City,1000.0,2.0,2.0
1642,Electronic City,1090.0,2.0,2.0
1643,Electronic City,1025.0,2.0,2.0
1644,Electronic City,1500.0,2.0,3.0
1645,Electronic City,800.0,2.0,2.0
1646,Electronic City,1470.0,2.0,3.0
1647,Electronic City,1631.0,3.0,3.0
1648,Electronic City,1128.0,2.0,2.0
1649,Electronic City,1128.0,2.0,2.0
1650,Electronic City,970.0,2.0,2.0
1651,Electronic City,1320.0,2.0,3.0
1652,Electronic City,1652.0,3.0,3.0
1653,Electronic City,1165.0,2.0,2.0
1654,Electronic City,700.0,1.0,1.0
1655,Electronic City,1110.0,2.0,2.0
1656,Electronic City,1108.0,2.0,2.0
1657,Electronic City,630.0,1.0,1.0
1658,Electronic City,870.0,2.0,2.0
1659,Electronic City,1070.0,2.0,2.0
1660,Electronic City,1070.0,2.0,2.0
1661,Electronic City,1025.0,2.0,2.0
1662,Electronic City,550.0,1.0,1.0
1663,Electronic City,1128.0,2.0,2.0
1664,Electronic City,710.0,2.0,2.0
1665,Electronic City,1571.0,3.0,3.0
1666,Electronic City,1355.0,2.0,2.0
1667,Electronic City,1200.0,2.0,2.0
1668,Electronic City,2000.0,4.0,4.0
1669,Electronic City,1386.0,2.0,2.0
1670,Electronic City,589.0,1.0,1.0
1671,Electronic City,1200.0,3.0,3.0
1672,Electronic City,1360.0,2.0,3.0
1673,Electronic City,660.0,1.0,2.0
1674,Electronic City,1000.0,2.0,2.0
1675,Electronic City,1127.0,2.0,2.0
1676,Electronic City,755.0,1.0,2.0
1677,Electronic City,1320.0,2.0,3.0
1678,Electronic City,1374.0,2.0,3.0
1679,Electronic City,770.0,1.0,2.0
1680,Electronic City,1152.0,2.0,2.0
1681,Electronic City,1150.0,2.0,2.0
1682,Electronic City,1250.0,2.0,2.0
1683,Electronic City,1050.0,2.0,3.0
1684,Electronic City,1090.0,2.0,2.0
1685,Electronic City,1355.0,2.0,2.0
1686,Electronic City,630.0,1.0,1.0
1687,Electronic City,1200.0,2.0,2.0
1688,Electronic City,1090.0,2.0,1.0
1689,Electronic City,1128.0,2.0,2.0
1690,Electronic City,1065.0,2.0,2.0
1691,Electronic City,1070.0,2.0,2.0
1692,Electronic City,1599.0,3.0,3.0
1693,Electronic City,1165.0,2.0,2.0
1694,Electronic City,1200.0,2.0,2.0
1695,Electronic City,1353.0,2.0,2.0
1696,Electronic City,1449.0,3.0,3.0
1697,Electronic City,1105.0,2.0,3.0
1698,Electronic City,1110.0,2.0,2.0
1699,Electronic City,605.0,1.0,1.0
1700,Electronic City,1156.0,2.0,3.0
1701,Electronic City,1500.0,2.0,3.0
1702,Electronic City,975.0,2.0,2.0
1703,Electronic City,1111.0,3.0,3.0
1704,Electronic City,1108.0,2.0,2.0
1705,Electronic City,1070.0,2.0,2.0
1706,Electronic City,1128.0,2.0,2.0
1707,Electronic City,1350.0,2.0,3.0
1708,Electronic City,1130.0,2.0,2.0
1709,Electronic City,1130.0,2.0,2.0
1710,Electronic City,1355.0,2.0,2.0
1711,Electronic City,1096.0,2.0,2.0
1712,Electronic City,1159.0,2.0,3.0
1713,Electronic City,1500.0,3.0,3.0
1714,Electronic City,1571.0,3.0,3.0
1715,Electronic City,630.0,1.0,1.0
1716,Electronic City,1128.0,2.0,2.0
1717,Electronic City,1530.0,2.0,3.0
1718,Electronic City,1320.0,2.0,3.0
1719,Electronic City,1500.0,2.0,3.0
1720,Electronic City,825.0,2.0,2.0
1721,Electronic City,1060.0,2.0,2.0
1722,Electronic City,1440.0,2.0,3.0
1723,Electronic City,1125.0,2.0,2.0
1724,Electronic City,1652.0,3.0,3.0
1725,Electronic City,1342.0,2.0,2.0
1726,Electronic City,975.0,2.0,2.0
1727,Electronic City,1025.0,2.0,2.0
1728,Electronic City,1020.0,2.0,2.0
1729,Electronic City,2435.0,4.0,4.0
1730,Electronic City,1160.0,2.0,3.0
1731,Electronic City,1140.0,2.0,2.0
1732,Electronic City,1020.0,2.0,2.0
1733,Electronic City,1342.0,2.0,2.0
1734,Electronic City,1500.0,2.0,3.0
1735,Electronic City,1025.0,2.0,2.0
1736,Electronic City,1160.0,2.0,2.0
1737,Electronic City,1410.0,2.0,3.0
1738,Electronic City,880.0,2.0,2.0
1739,Electronic City,1350.0,3.0,3.0
1740,Electronic City,635.0,1.0,1.0
1741,Electronic City,1060.0,2.0,2.0
1742,Electronic City,1110.0,2.0,2.0
1743,Electronic City,1025.0,2.0,2.0
1744,Electronic City,1575.0,3.0,3.0
1745,Electronic City,1165.0,2.0,2.0
1746,Electronic City,1363.0,2.0,2.0
1747,Electronic City,1700.0,3.0,3.0
1748,Electronic City,1600.0,3.0,3.0
1749,Electronic City,1258.0,2.0,2.0
1750,Electronic City,995.0,2.0,2.0
1751,Electronic City,1089.0,2.0,2.0
1752,Electronic City,1033.0,2.0,3.0
1753,Electronic City,1350.0,3.0,3.0
1754,Electronic City,1094.0,2.0,2.0
1755,Electronic City,1152.0,2.0,2.0
1756,Electronic City,1220.0,2.0,3.0
1757,Electronic City,1190.0,2.0,2.0
1758,Electronic City,550.0,1.0,1.0
1759,Electronic City,1070.0,2.0,2.0
1760,Electronic City,1225.0,3.0,3.0
1761,Electronic City,1609.0,3.0,3.0
1762,Electronic City,660.0,1.0,2.0
1763,Electronic City,1070.0,2.0,2.0
1764,Electronic City,1700.0,3.0,3.0
1765,Electronic City,1360.0,2.0,3.0
1766,Electronic City,2093.0,4.0,4.0
1767,Electronic City,1025.0,2.0,2.0
1768,Electronic City,1142.0,2.0,2.0
1769,Electronic City,605.0,1.0,1.0
1770,Electronic City,1150.0,2.0,2.0
1771,Electronic City,1070.0,2.0,2.0
1772,Electronic City,1070.0,2.0,2.0
1773,Electronic City,1210.0,2.0,2.0
1774,Electronic City,1500.0,2.0,3.0
1775,Electronic City,1100.0,2.0,2.0
1776,Electronic City,418.0,1.0,1.0
1777,Electronic City,1620.0,3.0,3.0
1778,Electronic City,1152.0,2.0,2.0
1779,Electronic City,1200.0,2.0,2.0
1780,Electronic City,1400.0,2.0,3.0
1781,Electronic City,1691.0,2.0,3.0
1782,Electronic City,1000.0,2.0,2.0
1783,Electronic City,1360.0,2.0,3.0
1784,Electronic City,4000.0,5.0,4.0
1785,Electronic City,660.0,1.0,2.0
1786,Electronic City,1500.0,2.0,3.0
1787,Electronic City,1296.0,2.0,2.0
1788,Electronic City,1128.0,2.0,2.0
1789,Electronic City,1400.0,2.0,3.0
1790,Electronic City,660.0,1.0,2.0
1791,Electronic City,1108.0,2.0,2.0
1792,Electronic City,1020.0,2.0,2.0
1793,Electronic City,1140.0,2.0,2.0
1794,Electronic City,1500.0,2.0,3.0
1795,Electronic City,1125.0,2.0,2.0
1796,Electronic City,1128.0,2.0,2.0
1797,Electronic City,1500.0,2.0,3.0
1798,Electronic City,1020.0,2.0,2.0
1799,Electronic City,940.0,2.0,2.0
1800,Electronic City,1125.0,2.0,2.0
1801,Electronic City,1150.0,2.0,2.0
1802,Electronic City,1070.0,2.0,2.0
1803,Electronic City,770.0,1.0,2.0
1804,Electronic City,1070.0,2.0,2.0
1805,Electronic City,630.0,1.0,1.0
1806,Electronic City,1060.0,2.0,2.0
1807,Electronic City,1571.0,3.0,3.0
1808,Electronic City,1210.0,2.0,2.0
1809,Electronic City,1017.0,2.0,2.0
1810,Electronic City,970.0,2.0,2.0
1811,Electronic City,710.0,1.0,1.0
1812,Electronic City Phase II,1160.0,2.0,2.0
1813,Electronic City Phase II,1286.0,2.0,2.0
1814,Electronic City Phase II,1065.0,2.0,2.0
1815,Electronic City Phase II,1160.0,2.0,2.0
1816,Electronic City Phase II,1031.0,2.0,2.0
1817,Electronic City Phase II,1790.0,3.0,3.0
1818,Electronic City Phase II,1400.0,2.0,3.0
1819,Electronic City Phase II,1031.0,2.0,2.0
1820,Electronic City Phase II,575.0,1.0,1.0
1821,Electronic City Phase II,1219.0,2.0,2.0
1822,Electronic City Phase II,1135.0,2.0,2.0
1823,Electronic City Phase II,1320.0,2.0,3.0
1824,Electronic City Phase II,1220.0,3.0,3.0
1825,Electronic City Phase II,1310.0,2.0,3.0
1826,Electronic City Phase II,1089.0,2.0,2.0
1827,Electronic City Phase II,1031.0,2.0,2.0
1828,Electronic City Phase II,1320.0,2.0,3.0
1829,Electronic City Phase II,1065.0,2.0,2.0
1830,Electronic City Phase II,1160.0,2.0,2.0
1831,Electronic City Phase II,972.0,2.0,2.0
1832,Electronic City Phase II,1800.0,3.0,3.0
1833,Electronic City Phase II,1065.0,2.0,2.0
1834,Electronic City Phase II,1025.0,2.0,2.0
1835,Electronic City Phase II,1140.0,2.0,2.0
1836,Electronic City Phase II,1611.0,2.0,3.0
1837,Electronic City Phase II,900.0,2.0,2.0
1838,Electronic City Phase II,1000.0,2.0,2.0
1839,Electronic City Phase II,1125.0,2.0,2.0
1840,Electronic City Phase II,1160.0,2.0,2.0
1841,Electronic City Phase II,1400.0,2.0,3.0
1842,Electronic City Phase II,1160.0,2.0,2.0
1843,Electronic City Phase II,2225.0,4.0,4.0
1844,Electronic City Phase II,1252.0,2.0,2.0
1845,Electronic City Phase II,1220.0,2.0,3.0
1846,Electronic City Phase II,1220.0,3.0,3.0
1847,Electronic City Phase II,829.0,2.0,2.0
1848,Electronic City Phase II,1000.0,2.0,2.0
1849,Electronic City Phase II,1065.0,2.0,2.0
1850,Electronic City Phase II,1000.0,2.0,2.0
1851,Electronic City Phase II,1000.0,2.0,2.0
1852,Electronic City Phase II,1155.0,2.0,2.0
1853,Electronic City Phase II,1400.0,2.0,3.0
1854,Electronic City Phase II,1252.0,2.0,3.0
1855,Electronic City Phase II,1305.0,3.0,3.0
1856,Electronic City Phase II,920.0,2.0,2.0
1857,Electronic City Phase II,1020.0,2.0,2.0
1858,Electronic City Phase II,993.0,2.0,3.0
1859,Electronic City Phase II,1320.0,2.0,3.0
1860,Electronic City Phase II,1336.0,2.0,3.0
1861,Electronic City Phase II,1329.0,2.0,3.0
1862,Electronic City Phase II,1300.0,2.0,2.0
1863,Electronic City Phase II,1160.0,2.0,2.0
1864,Electronic City Phase II,1418.0,3.0,3.0
1865,Electronic City Phase II,1192.0,2.0,3.0
1866,Electronic City Phase II,1900.0,3.0,4.0
1867,Electronic City Phase II,1150.0,3.0,3.0
1868,Electronic City Phase II,1000.0,2.0,2.0
1869,Electronic City Phase II,1651.0,3.0,3.0
1870,Electronic City Phase II,925.0,2.0,3.0
1871,Electronic City Phase II,1549.0,3.0,3.0
1872,Electronic City Phase II,1165.0,2.0,2.0
1873,Electronic City Phase II,1116.0,2.0,2.0
1874,Electronic City Phase II,1310.0,2.0,3.0
1875,Electronic City Phase II,1220.0,3.0,3.0
1876,Electronic City Phase II,1070.0,2.0,2.0
1877,Electronic City Phase II,1205.0,2.0,2.0
1878,Electronic City Phase II,1244.0,2.0,2.0
1879,Electronic City Phase II,972.0,2.0,2.0
1880,Electronic City Phase II,1252.0,2.0,3.0
1881,Electronic City Phase II,1125.0,2.0,2.0
1882,Electronic City Phase II,1125.0,2.0,2.0
1883,Electronic City Phase II,1940.0,4.0,3.0
1884,Electronic City Phase II,1140.0,2.0,2.0
1885,Electronic City Phase II,1310.0,2.0,3.0
1886,Electronic City Phase II,775.0,2.0,2.0
1887,Electronic City Phase II,1140.0,2.0,2.0
1888,Electronic City Phase II,1266.0,2.0,2.0
1889,Electronic City Phase II,1310.0,2.0,3.0
1890,Electronic City Phase II,769.0,2.0,2.0
1891,Electronic City Phase II,1031.0,2.0,2.0
1892,Electronic City Phase II,2187.5,4.0,4.0
1893,Electronic City Phase II,1140.0,2.0,2.0
1894,Electronic City Phase II,1200.0,2.0,2.0
1895,Electronic City Phase II,2400.0,3.0,2.0
1896,Electronic City Phase II,1310.0,2.0,3.0
1897,Electronic City Phase II,1400.0,2.0,3.0
1898,Electronic City Phase II,3550.0,2.0,4.0
1899,Electronic City Phase II,630.0,1.0,1.0
1900,Electronic City Phase II,1219.0,2.0,2.0
1901,Electronic City Phase II,1220.0,2.0,3.0
1902,Electronic City Phase II,1220.0,3.0,3.0
1903,Electronic City Phase II,1090.0,2.0,2.0
1904,Electronic City Phase II,1020.0,2.0,2.0
1905,Electronic City Phase II,1253.0,2.0,2.0
1906,Electronic City Phase II,1065.0,2.0,2.0
1907,Electronic City Phase II,1020.0,2.0,2.0
1908,Electronic City Phase II,1395.0,2.0,3.0
1909,Electronic City Phase II,1003.0,2.0,2.0
1910,Electronic City Phase II,1165.0,2.0,2.0
1911,Electronic City Phase II,1400.0,2.0,3.0
1912,Electronic City Phase II,1400.0,2.0,3.0
1913,Electronic City Phase II,650.0,1.0,1.0
1914,Electronics City Phase 1,1124.0,2.0,3.0
1915,Electronics City Phase 1,865.0,2.0,2.0
1916,Electronics City Phase 1,940.0,2.0,2.0
1917,Electronics City Phase 1,1450.0,2.0,3.0
1918,Electronics City Phase 1,1000.0,2.0,2.0
1919,Electronics City Phase 1,1800.0,3.0,3.0
1920,Electronics City Phase 1,2040.0,3.0,3.0
1921,Electronics City Phase 1,1555.0,2.0,3.0
1922,Electronics City Phase 1,919.0,2.0,2.0
1923,Electronics City Phase 1,1175.0,2.0,2.0
1924,Electronics City Phase 1,1445.0,2.0,3.0
1925,Electronics City Phase 1,950.0,2.0,2.0
1926,Electronics City Phase 1,1015.0,2.0,2.0
1927,Electronics City Phase 1,950.0,2.0,2.0
1928,Electronics City Phase 1,1175.0,2.0,2.0
1929,Electronics City Phase 1,940.0,2.0,2.0
1930,Electronics City Phase 1,940.0,2.0,2.0
1931,Electronics City Phase 1,585.0,1.0,1.0
1932,Electronics City Phase 1,1175.0,2.0,2.0
1933,Electronics City Phase 1,1170.0,2.0,2.0
1934,Electronics City Phase 1,1245.0,2.0,2.0
1935,Electronics City Phase 1,1025.0,2.0,2.0
1936,Electronics City Phase 1,1450.0,3.0,3.0
1937,Electronics City Phase 1,1113.27,2.0,2.0
1938,Electronics City Phase 1,995.0,2.0,2.0
1939,Electronics City Phase 1,1088.0,2.0,2.0
1940,Electronics City Phase 1,1321.0,2.0,3.0
1941,Electronics City Phase 1,1190.0,2.0,2.0
1942,Electronics City Phase 1,1900.0,3.0,3.0
1943,Electronics City Phase 1,1515.0,2.0,3.0
1944,Electronics City Phase 1,640.0,1.0,1.0
1945,Electronics City Phase 1,1700.0,3.0,3.0
1946,Electronics City Phase 1,995.0,2.0,2.0
1947,Electronics City Phase 1,1350.0,3.0,3.0
1948,Electronics City Phase 1,580.0,1.0,1.0
1949,Electronics City Phase 1,638.0,1.0,1.0
1950,Electronics City Phase 1,755.0,1.0,1.0
1951,Electronics City Phase 1,755.0,1.0,1.0
1952,Electronics City Phase 1,1190.0,2.0,2.0
1953,Electronics City Phase 1,1450.0,3.0,3.0
1954,Electronics City Phase 1,1314.0,2.0,2.0
1955,Electronics City Phase 1,1450.0,3.0,3.0
1956,Electronics City Phase 1,1550.0,2.0,3.0
1957,Electronics City Phase 1,1160.0,2.0,2.0
1958,Electronics City Phase 1,1116.0,2.0,2.0
1959,Electronics City Phase 1,1300.0,2.0,2.0
1960,Electronics City Phase 1,891.0,2.0,2.0
1961,Electronics City Phase 1,1175.0,2.0,2.0
1962,Electronics City Phase 1,940.0,2.0,2.0
1963,Electronics City Phase 1,785.0,1.0,1.0
1964,Electronics City Phase 1,1200.0,2.0,2.0
1965,Electronics City Phase 1,1750.0,3.0,3.0
1966,Frazer Town,1550.0,2.0,2.0
1967,Frazer Town,1305.0,3.0,3.0
1968,Frazer Town,2350.0,2.0,5.0
1969,Frazer Town,1625.0,2.0,2.0
1970,Frazer Town,3435.0,2.0,4.0
1971,Frazer Town,1900.0,4.0,3.0
1972,Frazer Town,2079.0,3.0,3.0
1973,Frazer Town,1870.0,3.0,3.0
1974,Frazer Town,2350.0,4.0,3.0
1975,Frazer Town,3100.0,3.0,3.0
1976,Frazer Town,1420.0,2.0,2.0
1977,Frazer Town,3436.0,5.0,4.0
1978,Frazer Town,2560.0,3.0,3.0
1979,Frazer Town,2214.0,3.0,3.0
1980,Frazer Town,1870.0,3.0,3.0
1981,Frazer Town,4856.0,5.0,4.0
1982,Frazer Town,1180.0,2.0,2.0
1983,Frazer Town,2560.0,3.0,3.0
1984,Frazer Town,3500.0,4.0,3.0
1985,Frazer Town,4100.0,4.0,4.0
1986,Frazer Town,896.0,1.0,1.0
1987,Frazer Town,2000.0,3.0,3.0
1988,Frazer Town,5400.0,3.0,3.0
1989,Frazer Town,2400.0,3.0,3.0
1990,Frazer Town,4850.0,6.0,4.0
1991,Garudachar Palya,1295.0,2.0,3.0
1992,Garudachar Palya,1150.0,2.0,2.0
1993,Garudachar Palya,1295.0,2.0,3.0
1994,Garudachar Palya,1320.0,2.0,3.0
1995,Garudachar Palya,1325.0,2.0,3.0
1996,Garudachar Palya,1150.0,2.0,2.0
1997,Garudachar Palya,1960.0,3.0,3.0
1998,Garudachar Palya,1150.0,2.0,2.0
1999,Garudachar Palya,1325.0,2.0,3.0
2000,Garudachar Palya,1060.0,2.0,2.0
2001,Garudachar Palya,1150.0,2.0,2.0
2002,Garudachar Palya,1325.0,2.0,3.0
2003,Garudachar Palya,1154.0,2.0,2.0
2004,Garudachar Palya,1060.0,2.0,2.0
2005,Giri Nagar,4000.0,3.0,4.0
2006,Giri Nagar,650.0,2.0,2.0
2007,Giri Nagar,4500.0,5.0,7.0
2008,Giri Nagar,3000.0,4.0,6.0
2009,Giri Nagar,1800.0,3.0,3.0
2010,Giri Nagar,1350.0,3.0,3.0
2011,Giri Nagar,2400.0,6.0,6.0
2012,Giri Nagar,2400.0,4.0,4.0
2013,Gollarapalya Hosahalli,996.0,2.0,2.0
2014,Gollarapalya Hosahalli,861.0,2.0,2.0
2015,Gollarapalya Hosahalli,1320.0,3.0,3.0
2016,Gollarapalya Hosahalli,861.0,2.0,2.0
2017,Gollarapalya Hosahalli,1318.0,3.0,3.0
2018,Gollarapalya Hosahalli,861.0,2.0,2.0
2019,Gollarapalya Hosahalli,1605.0,3.0,3.0
2020,Gollarapalya Hosahalli,1905.0,3.0,4.0
2021,Gollarapalya Hosahalli,1408.0,3.0,3.0
2022,Gollarapalya Hosahalli,1129.0,2.0,2.0
2023,Gollarapalya Hosahalli,1345.0,3.0,3.0
2024,Gottigere,1300.0,3.0,3.0
2025,Gottigere,1200.0,2.0,2.0
2026,Gottigere,1200.0,2.0,2.0
2027,Gottigere,1010.0,2.0,2.0
2028,Gottigere,1222.0,2.0,2.0
2029,Gottigere,1110.0,2.0,2.0
2030,Gottigere,1385.0,3.0,3.0
2031,Gottigere,1304.0,3.0,3.0
2032,Gottigere,990.0,2.0,2.0
2033,Gottigere,1425.0,2.0,3.0
2034,Gottigere,1380.0,2.0,3.0
2035,Gottigere,1153.0,2.0,2.0
2036,Gottigere,1100.0,2.0,2.0
2037,Gottigere,1075.0,2.0,2.0
2038,Gottigere,812.0,1.0,1.0
2039,Gottigere,1435.0,2.0,3.0
2040,Gottigere,1500.0,3.0,3.0
2041,Gottigere,1410.0,2.0,2.0
2042,Gottigere,2000.0,4.0,4.0
2043,Gottigere,3000.0,3.0,4.0
2044,Gottigere,1500.0,3.0,3.0
2045,Gottigere,1000.0,2.0,2.0
2046,Gottigere,1280.0,2.0,2.0
2047,Gottigere,967.0,2.0,2.0
2048,Gottigere,1200.0,2.0,2.0
2049,Gottigere,1600.0,2.0,3.0
2050,Gottigere,1618.0,3.0,3.0
2051,Gottigere,945.0,2.0,2.0
2052,Gottigere,1621.0,3.0,3.0
2053,Green Glen Layout,1751.0,3.0,3.0
2054,Green Glen Layout,1530.0,3.0,3.0
2055,Green Glen Layout,1776.42,3.0,3.0
2056,Green Glen Layout,1725.0,3.0,3.0
2057,Green Glen Layout,1717.0,3.0,3.0
2058,Green Glen Layout,1715.0,3.0,3.0
2059,Green Glen Layout,1630.0,3.0,3.0
2060,Green Glen Layout,1600.0,3.0,3.0
2061,Green Glen Layout,940.0,2.0,2.0
2062,Green Glen Layout,1680.0,4.0,3.0
2063,Green Glen Layout,1715.0,3.0,3.0
2064,Green Glen Layout,1250.0,2.0,2.0
2065,Green Glen Layout,1750.0,3.0,3.0
2066,Green Glen Layout,2000.0,3.0,3.0
2067,Green Glen Layout,1623.29,2.0,3.0
2068,Green Glen Layout,3270.0,4.0,4.0
2069,Green Glen Layout,1728.0,3.0,3.0
2070,Green Glen Layout,1670.0,3.0,3.0
2071,Green Glen Layout,1740.0,3.0,3.0
2072,Green Glen Layout,3250.0,4.0,4.0
2073,Green Glen Layout,1575.0,3.0,3.0
2074,Green Glen Layout,1485.0,3.0,3.0
2075,Green Glen Layout,1752.0,3.0,3.0
2076,Green Glen Layout,1970.0,3.0,3.0
2077,Green Glen Layout,1050.0,2.0,2.0
2078,Green Glen Layout,1625.0,3.0,3.0
2079,Gubbalala,1539.0,2.0,3.0
2080,Gubbalala,2000.0,3.0,3.0
2081,Gubbalala,1223.0,2.0,2.0
2082,Gubbalala,1100.0,2.0,2.0
2083,Gubbalala,1745.0,3.0,3.0
2084,Gubbalala,1475.0,2.0,2.0
2085,Gubbalala,1470.0,2.0,3.0
2086,Gubbalala,5000.0,4.0,4.0
2087,Gubbalala,2500.0,6.0,6.0
2088,Gubbalala,2500.0,3.0,3.0
2089,Gubbalala,1060.0,2.0,2.0
2090,Gubbalala,1205.0,2.0,2.0
2091,Gubbalala,1008.0,2.0,2.0
2092,Gubbalala,1745.0,3.0,3.0
2093,Gubbalala,1745.0,3.0,3.0
2094,Gubbalala,1745.0,3.0,3.0
2095,Gubbalala,2570.0,4.0,5.0
